age,pre
100.0,0.016777
300.0,0.017182
500.0,0.017535
700.0,0.017836
900.0,0.018083
1100.0,0.018273
1300.0,0.018406
1500.0,0.018479
1700.0,0.018492
1900.0,0.018442
2100.0,0.01833
2300.0,0.018153
2500.0,0.017913
2700.0,0.01761
2900.0,0.017244
3100.0,0.016815
3300.0,0.016325
3500.0,0.015778
3700.0,0.015179
3900.0,0.014532
4100.0,0.013842
4300.0,0.013112
4500.0,0.012338
4700.0,0.011521
4900.0,0.010661
5100.0,0.009755
5300.0,0.008806
5500.0,0.007821
5700.0,0.006806
5900.0,0.005764
6100.0,0.0047
6300.0,0.00362
6500.0,0.002525
6700.0,0.001422
6900.0,0.000314
7100.0,-0.000793
7300.0,-0.001895
7500.0,-0.002991
7700.0,-0.004078
7899.999999999998,-0.005155
8100.0,-0.006222
8300.0,-0.007275
8500.0,-0.008309
8700.0,-0.009319
8900.0,-0.010301
9100.0,-0.011249
9300.0,-0.01216
9500.0,-0.01303
9700.0,-0.013855
9900.0,-0.014632
10100.0,-0.015357
10300.0,-0.016028
10500.0,-0.016644
10700.0,-0.017206
10900.0,-0.017711
11100.0,-0.01816
11300.0,-0.01855
11500.0,-0.018881
11700.0,-0.019151
11900.0,-0.019359
12100.0,-0.019507
12300.0,-0.019594
12500.0,-0.019616
12700.0,-0.019572
12900.0,-0.019458
13100.0,-0.019268
13300.0,-0.019003
13500.0,-0.018669
13700.0,-0.018271
13900.0,-0.017815
14100.0,-0.01731
14300.0,-0.016759
14500.0,-0.016161
14700.0,-0.015515
14900.0,-0.014819
15100.0,-0.014072
15300.0,-0.013273
15500.0,-0.012427
15700.0,-0.011536
15900.0,-0.010603
16100.0,-0.009632
16300.0,-0.008629
16500.0,-0.0076
16700.0,-0.006551
16900.0,-0.005488
17100.0,-0.004415
17300.0,-0.003337
17500.0,-0.002253
17700.0,-0.001167
17900.0,-8.1e-05
18100.0,0.001001
18300.0,0.002075
18500.0,0.003137
18700.0,0.004186
18900.0,0.005218
19100.0,0.006233
19300.0,0.007229
19500.0,0.008197
19700.0,0.009131
19900.0,0.010024
20100.0,0.010867
20300.0,0.011656
20500.0,0.012394
20700.0,0.013081
20900.0,0.013718
21100.0,0.014307
21300.0,0.014846
21500.0,0.015333
21700.0,0.015766
21900.0,0.016142
22100.0,0.01646
22300.0,0.016718
22500.0,0.016914
22700.0,0.017045
22900.0,0.017109
23100.0,0.017104
23300.0,0.017029
23500.0,0.016891
23700.0,0.01669
23900.0,0.016431
