age_calBP	d18OcarbVPDB	d18OcarbVint	d18Ocarbivc
0	-9.34	-9.34	-9.34
100	-9.54	-9.54	-9.54
200	-9.47	-9.47	-9.47
300	-9.50	-9.50	-9.50
400	-9.33	-9.33	-9.33
500	-9.57	-9.57	-9.57
600	-9.50	-9.50	-9.50
700	-9.59	-9.59	-9.59
800	-9.49	-9.49	-9.49
900	-9.41	-9.41	-9.41
1000	-9.72	-9.72	-9.72
1100	-9.46	-9.46	-9.46
1200	-9.54	-9.54	-9.54
1300	-9.60	-9.60	-9.60
1400	-9.52	-9.52	-9.52
1500	-9.53	-9.53	-9.53
1600	-9.44	-9.44	-9.44
1700	-9.71	-9.71	-9.71
1800	-9.69	-9.69	-9.69
1900	-9.47	-9.47	-9.47
2000	-9.60	-9.60	-9.60
2100	-999	-9.81	-9.81
2200	-10.03	-10.03	-10.03
2300	-999	-9.83	-9.83
2400	-999	-9.63	-9.63
2500	-9.43	-9.43	-9.43
2600	-9.28	-9.28	-9.29
2700	-9.27	-9.27	-9.28
2800	-9.54	-9.54	-9.55
2900	-9.33	-9.33	-9.34
3000	-9.51	-9.51	-9.52
3100	-9.64	-9.64	-9.65
3200	-9.51	-9.51	-9.52
3300	-9.67	-9.67	-9.68
3400	-9.48	-9.48	-9.49
3500	-9.71	-9.71	-9.72
3600	-10.02	-10.02	-10.03
3700	-9.73	-9.73	-9.74
3800	-9.95	-9.95	-9.96
3900	-9.95	-9.95	-9.96
4000	-10.11	-10.11	-10.12
4100	-9.88	-9.88	-9.89
4200	-10.03	-10.03	-10.05
4300	-9.96	-9.96	-9.98
4400	-9.86	-9.86	-9.87
4500	-10.06	-10.06	-10.07
4600	-9.99	-9.99	-10.00
4700	-9.99	-9.99	-10.00
4800	-9.98	-9.98	-9.99
4900	-10.13	-10.13	-10.15
5000	-9.91	-9.91	-9.94
5100	-9.73	-9.73	-9.75
5200	-9.77	-9.77	-9.79
5300	-9.71	-9.71	-9.74
5400	-9.83	-9.83	-9.86
5500	-9.65	-9.65	-9.68
5600	-9.76	-9.76	-9.80
5700	-9.81	-9.81	-9.84
5800	-9.69	-9.69	-9.72
5900	-9.65	-9.65	-9.69
6000	-9.51	-9.51	-9.55
6100	-9.36	-9.36	-9.40
6200	-9.84	-9.84	-9.88
6300	-9.52	-9.52	-9.57
6400	-9.74	-9.74	-9.78
6500	-9.61	-9.61	-9.66
6600	-9.45	-9.45	-9.49
6700	-9.30	-9.30	-9.34
6800	-9.23	-9.23	-9.28
6900	-9.44	-9.44	-9.49
7000	-9.13	-9.13	-9.18
7100	-9.10	-9.10	-9.15
7200	-9.19	-9.19	-9.25
7300	-9.55	-9.55	-9.60
7400	-9.31	-9.31	-9.37
7500	-9.22	-9.22	-9.28
7600	-9.38	-9.38	-9.45
7700	-9.18	-9.18	-9.25
7800	-9.06	-9.06	-9.13
7900	-8.83	-8.83	-8.91
8000	-9.15	-9.15	-9.23
8100	-8.87	-8.87	-8.96
8200	-9.06	-9.06	-9.15
8300	-8.95	-8.95	-9.05
8400	-8.89	-8.89	-9.00
8500	-8.89	-8.89	-9.01
8600	-8.72	-8.72	-8.85
8700	-8.74	-8.74	-8.87
8800	-8.87	-8.87	-9.02
8900	-9.04	-9.04	-9.19
9000	-8.91	-8.91	-9.07
9100	-8.76	-8.76	-8.93
9200	-8.75	-8.75	-8.94
9300	-8.73	-8.73	-8.92
9400	-8.64	-8.64	-8.85
9500	-8.62	-8.62	-8.84
9600	-8.69	-8.69	-8.92
9700	-8.66	-8.66	-8.90
9800	-8.49	-8.49	-8.74
9900	-8.27	-8.27	-8.53
10000	-8.49	-8.49	-8.76
10100	-8.51	-8.51	-8.79
10200	-8.52	-8.52	-8.81
10300	-8.51	-8.51	-8.81
10400	-8.49	-8.49	-8.80
10500	-8.34	-8.34	-8.66
10600	-8.44	-8.44	-8.78
10700	-8.14	-8.14	-8.49
10800	-8.01	-8.01	-8.36
10900	-8.34	-8.34	-8.71
11000	-8.46	-8.46	-8.84
11100	-8.34	-8.34	-8.73
11200	-8.26	-8.26	-8.66
11300	-8.22	-8.22	-8.64
11400	-8.32	-8.32	-8.75
11500	-8.33	-8.33	-8.77
11600	-8.22	-8.22	-8.68
11700	-8.55	-8.55	-9.02
11800	-8.29	-8.29	-8.77
11900	-8.23	-8.23	-8.72
12000	-8.19	-8.19	-8.69
12100	-8.07	-8.07	-8.60
12200	-7.98	-7.98	-8.51
12300	-7.56	-7.56	-8.11
12400	-7.58	-7.58	-8.14
12500	-7.73	-7.73	-8.30
12600	-7.72	-7.72	-8.30
12700	-7.82	-7.82	-8.41
12800	-7.68	-7.68	-8.29
12900	-7.74	-7.74	-8.36
13000	-7.51	-7.51	-8.14
13100	-7.67	-7.67	-8.31
13200	-7.89	-7.89	-8.54
13300	-7.86	-7.86	-8.53
13400	-8.03	-8.03	-8.71
13500	-7.99	-7.99	-8.68
13600	-7.94	-7.94	-8.64
13700	-7.47	-7.47	-8.18
13800	-7.98	-7.98	-8.71
13900	-7.87	-7.87	-8.60
14000	-7.86	-7.86	-8.61
14100	-7.95	-7.95	-8.71
14200	-7.61	-7.61	-8.38
14300	-7.87	-7.87	-8.65
14400	-7.69	-7.69	-8.48
14500	-7.49	-7.49	-8.29
14600	-7.26	-7.26	-8.07
14700	-7.40	-7.40	-8.22
14800	-7.19	-7.19	-8.02
14900	-7.11	-7.11	-7.94
15000	-6.96	-6.96	-7.81
15100	-6.79	-6.79	-7.65
15200	-6.87	-6.87	-7.73
15300	-6.90	-6.90	-7.77
15400	-6.92	-6.92	-7.79
15500	-6.93	-6.93	-7.81
15600	-6.84	-6.84	-7.73
15700	-7.01	-7.01	-7.91
15800	-6.90	-6.90	-7.81
15900	-6.82	-6.82	-7.73
16000	-6.98	-6.98	-7.89
16100	-6.99	-6.99	-7.91
16200	-7.16	-7.16	-8.08
16300	-7.18	-7.18	-8.11
16400	-7.21	-7.21	-8.15
16500	-7.19	-7.19	-8.13
16600	-7.25	-7.25	-8.20
16700	-7.27	-7.27	-8.22
16800	-7.21	-7.21	-8.17
16900	-7.56	-7.56	-8.52
17000	-7.33	-7.33	-8.29
17100	-7.34	-7.34	-8.31
17200	-7.48	-7.48	-8.45
17300	-7.53	-7.53	-8.50
17400	-7.33	-7.33	-8.31
17500	-7.38	-7.38	-8.36
17600	-7.50	-7.50	-8.48
17700	-7.58	-7.58	-8.56
17800	-7.70	-7.70	-8.69
17900	-7.60	-7.60	-8.59
