depth_mm	age_calkaBP	d18O-raw	calcite	d18O-arag	d18O-IVcorr
0.25	0.159	-7.98	0	-7.98	-7.99
0.75	0.172	-7.82	0	-7.82	-7.83
1.25	0.184	-7.87	0.157895	-7.71	-7.72
1.75	0.196	-7.94	0	-7.94	-7.96
2.25	0.209	-8.16	0	-8.16	-8.17
2.75	0.221	-8.08	0	-8.08	-8.1
3.25	0.233	-8.14	0	-8.14	-8.15
3.75	0.246	-7.98	0	-7.98	-7.99
4.25	0.258	-7.91	0	-7.91	-7.93
4.75	0.271	-7.94	0	-7.94	-7.96
5.25	0.284	-7.79	0	-7.79	-7.8
5.75	0.299	-8.15	0	-8.15	-8.16
6.25	0.313	-8.15	0	-8.15	-8.17
6.75	0.327	-8.12	0	-8.12	-8.13
7.25	0.342	-8.27	0	-8.27	-8.29
7.75	0.356	-8.14	0	-8.14	-8.16
8.25	0.371	-8.05	0	-8.05	-8.07
8.75	0.385	-8.02	0	-8.02	-8.04
9.25	0.4	-8.07	0	-8.07	-8.09
9.75	0.414	-8.12	0	-8.12	-8.13
10.25	0.43	-7.82	0	-7.82	-7.83
10.75	0.448	-7.95	0	-7.95	-7.97
11.25	0.466	-8.11	0.047619	-8.07	-8.08
11.75	0.484	-7.63	0	-7.63	-7.65
12.25	0.502	-7.65	0	-7.65	-7.66
12.75	0.519	-7.79	0	-7.79	-7.8
13.25	0.537	-7.9	0	-7.9	-7.92
13.75	0.555	-7.93	0	-7.93	-7.94
14.25	0.573	-7.88	0	-7.88	-7.89
14.75	0.59	-8.01	0.157895	-7.85	-7.86
15.25	0.61	-7.72	0	-7.72	-7.74
15.75	0.631	-7.85	0	-7.85	-7.86
16.25	0.651	-7.49	0	-7.49	-7.5
16.75	0.672	-7.64	0	-7.64	-7.66
17.25	0.693	-7.92	0	-7.92	-7.94
17.75	0.714	-7.97	0.312500	-7.65	-7.67
18.25	0.734	-7.93	0.200000	-7.73	-7.75
18.75	0.755	-7.87	0	-7.87	-7.89
19.25	0.776	-7.75	0	-7.75	-7.77
